date,price
1980-12-12,0.100600
1980-12-15,0.095352
1980-12-16,0.088353
1980-12-17,0.090540
1980-12-18,0.093165
1980-12-19,0.098851
1980-12-22,0.103662
1980-12-23,0.108036
1980-12-24,0.113722
1980-12-26,0.124219
1980-12-29,0.125969
1980-12-30,0.122907
1980-12-31,0.119408
1981-01-02,0.120720
1981-01-05,0.118096
1981-01-06,0.112847
1981-01-07,0.108036
1981-01-08,0.105849
1981-01-09,0.111535
1981-01-12,0.110660
1981-01-13,0.106724
1981-01-14,0.107161
1981-01-15,0.109348
1981-01-16,0.108473
1981-01-19,0.115034
1981-01-20,0.111535
1981-01-21,0.113722
1981-01-22,0.115034
1981-01-23,0.114596
1981-01-26,0.112847
1981-01-27,0.111972
1981-01-28,0.108473
1981-01-29,0.104537
1981-01-30,0.098851
1981-02-02,0.093165
1981-02-03,0.096664
1981-02-04,0.100163
1981-02-05,0.100163
1981-02-06,0.100600
1981-02-09,0.095352
1981-02-10,0.095352
1981-02-11,0.092290
1981-02-12,0.091415
1981-02-13,0.089228
1981-02-17,0.091415
1981-02-18,0.095352
1981-02-19,0.089665
1981-02-20,0.084854
1981-02-23,0.086166
1981-02-24,0.083105
1981-02-25,0.088353
1981-02-26,0.089665
1981-02-27,0.092727
1981-03-02,0.093165
1981-03-03,0.091853
1981-03-04,0.090977
1981-03-05,0.090540
1981-03-06,0.089665
1981-03-09,0.082667
1981-03-10,0.078730
1981-03-11,0.075669
1981-03-12,0.078730
1981-03-13,0.077856
1981-03-16,0.080918
1981-03-17,0.084854
1981-03-18,0.090103
1981-03-19,0.089228
1981-03-20,0.090103
1981-03-23,0.093602
1981-03-24,0.093165
1981-03-25,0.091415
1981-03-26,0.089665
1981-03-27,0.086604
1981-03-30,0.086604
1981-03-31,0.085729
1981-04-01,0.084854
1981-04-02,0.092290
1981-04-03,0.092727
1981-04-06,0.090977
1981-04-07,0.090103
1981-04-08,0.094477
1981-04-09,0.096226
1981-04-10,0.097539
1981-04-13,0.097539
1981-04-14,0.097539
1981-04-15,0.092727
1981-04-16,0.087478
1981-04-20,0.090103
1981-04-21,0.096226
1981-04-22,0.099725
1981-04-23,0.102350
1981-04-24,0.101475
1981-04-27,0.100600
1981-04-28,0.098851
1981-04-29,0.097539
1981-04-30,0.099288
1981-05-01,0.099288
1981-05-04,0.098851
1981-05-05,0.098413
1981-05-06,0.095789
1981-05-07,0.097101
1981-05-08,0.097976
1981-05-11,0.095789
1981-05-12,0.095789
1981-05-13,0.095352
1981-05-14,0.094040
1981-05-15,0.096226
1981-05-18,0.097976
1981-05-19,0.096226
1981-05-20,0.099288
1981-05-21,0.104974
1981-05-22,0.109785
1981-05-26,0.109348
1981-05-27,0.115471
1981-05-28,0.115471
1981-05-29,0.115909
1981-06-01,0.115909
1981-06-02,0.110223
1981-06-03,0.110223
1981-06-04,0.112410
1981-06-05,0.110660
1981-06-08,0.106724
1981-06-09,0.108911
1981-06-10,0.110223
1981-06-11,0.115034
1981-06-12,0.113722
1981-06-15,0.113284
1981-06-16,0.111098
1981-06-17,0.109348
1981-06-18,0.108911
1981-06-19,0.105849
1981-06-22,0.101912
1981-06-23,0.103662
1981-06-24,0.101037
1981-06-25,0.103224
1981-06-26,0.101912
1981-06-29,0.098413
1981-06-30,0.090977
1981-07-01,0.090103
1981-07-02,0.090103
1981-07-06,0.087041
1981-07-07,0.087916
1981-07-08,0.091415
1981-07-09,0.084417
1981-07-10,0.077856
1981-07-13,0.079606
1981-07-14,0.083105
1981-07-15,0.085292
1981-07-16,0.087478
1981-07-17,0.090540
1981-07-20,0.084417
1981-07-21,0.083979
1981-07-22,0.079168
1981-07-23,0.081355
1981-07-24,0.083979
1981-07-27,0.087478
1981-07-28,0.084417
1981-07-29,0.083105
1981-07-30,0.086166
1981-07-31,0.087478
1981-08-03,0.086604
1981-08-04,0.087916
1981-08-05,0.090540
1981-08-06,0.088353
1981-08-07,0.088353
1981-08-10,0.088353
1981-08-11,0.085729
1981-08-12,0.083979
1981-08-13,0.081355
1981-08-14,0.080043
1981-08-17,0.077418
1981-08-18,0.075669
1981-08-19,0.074794
1981-08-20,0.075669
1981-08-21,0.070420
1981-08-24,0.066046
1981-08-25,0.067796
1981-08-26,0.066483
1981-08-27,0.066921
1981-08-28,0.070420
1981-08-31,0.070420
1981-09-01,0.074794
1981-09-02,0.076106
1981-09-03,0.072170
1981-09-04,0.071295
1981-09-08,0.069108
1981-09-09,0.069108
1981-09-10,0.069546
1981-09-11,0.068671
1981-09-14,0.066483
1981-09-15,0.064734
1981-09-16,0.063422
1981-09-17,0.061672
1981-09-18,0.062110
1981-09-21,0.062547
1981-09-22,0.059048
1981-09-23,0.057736
1981-09-24,0.057299
